Year,Rank,Artist,Song
2016,19,G-Eazy x Bebe Rexha,"Me, Myself and I
LYRICS"
2016,20,twenty one pilots,"Ride
LYRICS"
2016,21,twenty one pilots,"Heathens
LYRICS"
2016,22,Zayn,"Pillowtalk
LYRICS"
2016,23,Shawn Mendes,"Stitches
LYRICS"
2016,24,Drake,"Hotline Bling
LYRICS"
2016,25,Major Lazer feat. Justin Bieber and MO,"Cold Water
LYRICS"
2016,26,Adele,"Send My Love (To Your New Lover)
LYRICS"
2016,27,Chainsmokers feat. Rozes,"Roses
LYRICS"
2016,28,Shawn Mendes,"Treat You Better
LYRICS"
2016,29,Drake feat. Rihanna,"Too Good
LYRICS"
2016,30,Future feat. The Weeknd,"Low Life
LYRICS"
2016,31,Justin Bieber,"What Do You Mean?
LYRICS"
2016,32,Weeknd,"The Hills
LYRICS"
2016,33,Pink,"Just Like Fire
LYRICS"
2016,34,D.R.A.M. feat. Lil Yachty,"Broccoli
LYRICS"
2016,35,Bryson Tiller,"Don’t
LYRICS"
2016,36,Ariana Grande,"Dangerous Woman
LYRICS"
2016,37,Drake and Future,"Jumpman
LYRICS"
2016,38,gnash feat. Olivia O’Brien,"I Hate U I Love U
LYRICS"
2016,39,Alessia Cara,"Here
LYRICS"
2016,40,Selena Gomez,"Same Old Love
LYRICS"
2016,41,Drake,"Controlla
LYRICS"
2016,42,Meghan Trainor feat. John Legend,"Like I’m Gonna Lose You
LYRICS"
2016,43,Charlie Puth,"One Call Away
LYRICS"
2016,44,James Bay,"Let It Go
LYRICS"
2016,45,Meghan Trainor,"No
LYRICS"
2016,46,Zara Larsson and MNEK,"Never Forget You
LYRICS"
2016,47,DJ Snake feat. Justin Bieber,"Let Me Love You
LYRICS"
2016,48,Kent Jones,"Don’t Mind
LYRICS"
2016,49,Florida Georgia Line,H.O.L.Y.
2016,50,Charlie Puth feat. Selena Gomez,"We Don’t Talk Anymore
LYRICS"
2016,51,Ariana Grande,"Into You
LYRICS"
2016,52,Kiiara,"Gold
LYRICS"
2016,53,Bryson Tiller,"Exchange
LYRICS"
2016,54,Fetty Wap feat. Remy Boyz,"679
LYRICS"
2016,55,Jeremih,"Oui
LYRICS"
2016,56,Selena Gomez,"Hands To Myself
LYRICS"
2016,57,Kevin Gates,"2 Phones
LYRaICS"
2016,58,Weeknd feat. Daft Punk,"Starboy
LYRICS"
2016,59,DJ Khaled feat. Drake,"For Free
LYRICS"
2016,60,Flume feat. Kai,"Never Be Like You
LYRICS"
2016,61,Weeknd,"In The Night
LYRICS"
2016,62,Meghan Trainor,"Me Too
LYRICS"
2016,63,Elle King,"Ex’s and Oh’s
LYRICS"
2016,64,Thomas Rhett,"Die A Happy Man
LYRICS"
2016,65,Post Malone,"White Iverson
LYRICS"
2016,66,Nick Jonas feat. Tove Lo,"Close
LYRICS"
2016,67,X Ambassadors,"Unsteady
LYRICS"
2016,68,"Lil Wayne, Wi","Sucker For Pain
LYRICS"
2016,69,Yo Gotti feat. Nicki Minaj,"Down In The Dm
LYRICS"
2016,70,Tory Lanez,"Luv
LYRICS"
2016,71,Beyonce,"Sorry
LYRICS"
2016,72,Weeknd,"Can’t Feel My Face
LYRICS"
2016,73,Coldplay,"Hymn For The Weekend
LYRICS"
2016,74,Tory Lanez,"Say It
LYRICS"
2016,75,Travis Scott,"Antidote
LYRICS"
2016,76,Ruth B,"Lost Boy
LYRICS"
2016,77,Ariana Grande feat. Nicki Minaj,"Side To Side
LYRICS"
2016,78,Daya,"Sit Still, Look Pretty
LYRICS"
2016,79,Taylor Swift,"Wildest Dreams
LYRICS"
2016,80,DJ Snake feat. Bipolar Sunshine,"Middle
LYRICS"
2016,81,Ellie Goulding,"On My Mind
LYRICS"
2016,82,Drake feat. The Throne,"Pop Style
LYRICS"
2016,83,Adele,"When We Were Young
LYRICS"
2016,84,Daya,"Hide Away
LYRICS"
2016,85,Major Lazer and DJ Snake feat. MO,"Lean On
LYRICS"
2016,86,Shawn Mendes and Camila Cabello,"I Know What You Did Last Summer
LYRICS"
2016,87,"Fat Joe, Rem","All The Way Up
LYRICS"
2016,88,Silento,"Watch Me
LYRICS"
2016,89,Chris Brown,"Back To Sleep
LYRICS"
2016,90,Usher feat. Young Thug,"No Limit
LYRICS"
2016,91,O.T. Genasis feat. Young Dolph,"Cut It
LYRICS"
2016,92,Kevin Gates,"Really Really
LYRICS"
2016,93,Fifth Harmony feat. Fetty Wap,"All In My Head (Flex)
LYRICS"
2016,94,Hailee Steinfeld and Grey feat. Zedd,"Starving
LYRICS"
2016,95,Coldplay,"Adventure Of A Lifetime
LYRICS"
2016,96,Tim McGraw,"Humble And Kind
LYRICS"
2016,97,Future,"Wicked
LYRICS"
2016,98,Desiigner,"Tiimmy Turner
LYRICS"
2016,99,Wiz Khalifa feat. Charlie Puth,"See You Again
LYRICS"
2016,100,One Direction,"Perfect
LYRICS"
